year,county,state,county_name,income,perc_change,est_mortgage,income_needed,actual_needed_diff,actual_needed_ratio
 2019,Abbeville,SC,"Abbeville, SC",34990,0,710,30429,4561,1.15
 2020,Abbeville,SC,"Abbeville, SC",38094,9,914,39171,-1077,0.97
 2021,Abbeville,SC,"Abbeville, SC",40596,7,1014,43457,-2861,0.93
 2019,Acadia,LA,"Acadia, LA",39740,0,682,29229,10511,1.36
 2020,Acadia,LA,"Acadia, LA",43800,10,736,31543,12257,1.39
 2021,Acadia,LA,"Acadia, LA",45805,5,813,34843,10962,1.31
 2019,Accomack,VA,"Accomack, VA",48224,0,1027,44014,4210,1.1
 2020,Accomack,VA,"Accomack, VA",51730,7,1105,47357,4373,1.09
 2021,Accomack,VA,"Accomack, VA",57520,11,1417,60729,-3209,0.95
 2019,Ada,ID,"Ada, ID",54866,0,1848,79200,-24334,0.69
 2020,Ada,ID,"Ada, ID",58976,8,1998,85629,-26653,0.69
 2021,Ada,ID,"Ada, ID",62610,6,2769,118671,-56061,0.53
 2019,Adair,IA,"Adair, IA",49947,0,648,27771,22176,1.8
 2020,Adair,IA,"Adair, IA",54324,9,656,28114,26210,1.93
 2021,Adair,IA,"Adair, IA",61765,14,716,30686,31079,2.01
 2019,Adair,KY,"Adair, KY",33442,0,624,26743,6699,1.25
 2020,Adair,KY,"Adair, KY",37409,12,750,32143,5266,1.16
 2021,Adair,KY,"Adair, KY",41385,11,1181,50614,-9229,0.82
 2019,Adair,MO,"Adair, MO",33223,0,497,21300,11923,1.56
 2020,Adair,MO,"Adair, MO",35904,8,444,19029,16875,1.89
 2021,Adair,MO,"Adair, MO",37898,6,634,27171,10727,1.39
 2019,Adair,OK,"Adair, OK",32854,0,544,23314,9540,1.41
 2020,Adair,OK,"Adair, OK",36005,10,552,23657,12348,1.52
 2021,Adair,OK,"Adair, OK",41496,15,839,35957,5539,1.15
 2019,Adams,CO,"Adams, CO",45266,0,2023,86700,-41434,0.52
 2020,Adams,CO,"Adams, CO",48606,7,2143,91843,-43237,0.53
 2021,Adams,CO,"Adams, CO",53183,9,2589,110957,-57774,0.48
 2019,Adams,IA,"Adams, IA",56104,0,732,31371,24733,1.79
 2020,Adams,IA,"Adams, IA",53550,-5,355,15214,38336,3.52
 2021,Adams,IA,"Adams, IA",62223,16,349,14957,47266,4.16
 2019,Adams,ID,"Adams, ID",40107,0,1797,77014,-36907,0.52
 2020,Adams,ID,"Adams, ID",42496,6,2087,89443,-46947,0.48
 2021,Adams,ID,"Adams, ID",44261,4,4808,206057,-161796,0.21
 2019,Adams,IL,"Adams, IL",47040,0,619,26529,20511,1.77
 2020,Adams,IL,"Adams, IL",51072,9,678,29057,22015,1.76
 2021,Adams,IL,"Adams, IL",55254,8,668,28629,26625,1.93
 2019,Adams,IN,"Adams, IN",40009,0,554,23743,16266,1.69
 2020,Adams,IN,"Adams, IN",42799,7,585,25071,17728,1.71
 2021,Adams,IN,"Adams, IN",47209,10,818,35057,12152,1.35
 2019,Adams,MS,"Adams, MS",36413,0,944,40457,-4044,0.9
 2020,Adams,MS,"Adams, MS",39621,9,892,38229,1392,1.04
 2021,Adams,MS,"Adams, MS",42911,8,911,39043,3868,1.1
 2019,Adams,ND,"Adams, ND",48914,0,775,33214,15700,1.47
 2020,Adams,ND,"Adams, ND",57099,17,628,26914,30185,2.12
 2021,Adams,ND,"Adams, ND",57586,1,640,27429,30157,2.1
 2019,Adams,NE,"Adams, NE",50436,0,873,37414,13022,1.35
 2020,Adams,NE,"Adams, NE",53834,7,976,41829,12005,1.29
 2021,Adams,NE,"Adams, NE",58072,8,785,33643,24429,1.73
 2019,Adams,OH,"Adams, OH",35806,0,455,19500,16306,1.84
 2020,Adams,OH,"Adams, OH",40100,12,611,26186,13914,1.53
 2021,Adams,OH,"Adams, OH",43092,8,676,28971,14121,1.49
 2019,Adams,PA,"Adams, PA",49380,0,1104,47314,2066,1.04
 2020,Adams,PA,"Adams, PA",52801,7,1282,54943,-2142,0.96
 2021,Adams,PA,"Adams, PA",55752,6,1526,65400,-9648,0.85
 2019,Adams,WA,"Adams, WA",40526,0,787,33729,6797,1.2
 2020,Adams,WA,"Adams, WA",45040,11,932,39943,5097,1.13
 2021,Adams,WA,"Adams, WA",47867,6,1438,61629,-13762,0.78
 2019,Adams,WI,"Adams, WI",41638,0,887,38014,3624,1.1
 2020,Adams,WI,"Adams, WI",44057,6,935,40071,3986,1.1
 2021,Adams,WI,"Adams, WI",46002,4,1013,43414,2588,1.06
 2019,Addison,VT,"Addison, VT",53670,0,1532,65657,-11987,0.82
 2020,Addison,VT,"Addison, VT",57156,7,1420,60857,-3701,0.94
 2021,Addison,VT,"Addison, VT",59540,4,1714,73457,-13917,0.81
 2019,Aiken,SC,"Aiken, SC",45459,0,1116,47829,-2370,0.95
 2020,Aiken,SC,"Aiken, SC",48208,6,1172,50229,-2021,0.96
 2021,Aiken,SC,"Aiken, SC",51057,6,1365,58500,-7443,0.87
 2019,Aitkin,MN,"Aitkin, MN",42044,0,979,41957,87,1
 2020,Aitkin,MN,"Aitkin, MN",46856,11,955,40929,5927,1.14
 2021,Aitkin,MN,"Aitkin, MN",49255,5,1375,58929,-9674,0.84
 2019,Alachua,FL,"Alachua, FL",45870,0,1222,52371,-6501,0.88
 2020,Alachua,FL,"Alachua, FL",48858,7,1350,57857,-8999,0.84
