Location,2019_income,2020_income,2021_income,2021_rank_in_state,2020_perc_change,2021_perc_change,2021_rank_in_state_1
United States,56250,59765,64143,,6.2,7.3,
Alabama,43288,46179,49769,,6.7,7.8,
Autauga,42846,45248,48347,11,5.6,6.8,60
Baldwin,48380,51348,54659,4,6.1,6.4,63
Barbour,34870,37120,40428,54,6.5,8.9,33
Bibb,31800,34598,36892,66,8.8,6.6,62
Blount,36542,38351,42634,39,5,11.2,10
Bullock,27192,30429,33267,67,11.9,9.3,27
Butler,39254,41151,46050,20,4.8,11.9,7
Calhoun,36869,39546,42621,40,7.3,7.8,48
Chambers,33682,36299,39728,58,7.8,9.4,26
Cherokee,37751,39416,43719,32,4.4,10.9,11
Chilton,36195,38551,41748,44,6.5,8.3,40
Choctaw,38651,41413,44241,29,7.1,6.8,61
Clarke,37426,41862,45232,23,11.9,8.1,43
Clay,32059,34660,38705,62,8.1,11.7,8
Cleburne,35819,37670,42836,38,5.2,13.7,3
Coffee,43164,45466,49196,9,5.3,8.2,42
Colbert,37912,41088,44279,28,8.4,7.8,49
Conecuh,34183,37887,41656,47,10.8,9.9,17
Coosa,33311,35542,38275,64,6.7,7.7,51
Covington,35472,37777,41458,49,6.5,9.7,23
Crenshaw,37965,39921,46038,21,5.2,15.3,1
Cullman,40047,41925,46061,19,4.7,9.9,18
Dale,37574,40032,43916,31,6.5,9.7,24
Dallas,35069,38762,41850,42,10.5,8,45
DeKalb,33015,34999,40026,57,6,14.4,2
Elmore,42234,44683,47381,14,5.8,6,66
Escambia,33325,36134,39363,60,8.4,8.9,32
Etowah,37407,39795,42558,41,6.4,6.9,59
Fayette,35733,37852,41672,46,5.9,10.1,15
Franklin,34382,37151,40810,51,8.1,9.8,19
Geneva,36154,38132,41569,48,5.5,9,30
Greene,33294,36851,40461,53,10.7,9.8,21
Hale,37619,40633,44085,30,8,8.5,36
Henry,44657,46518,51184,5,4.2,10,16
Houston,44250,47648,50976,6,7.7,7,57
Jackson,37180,39664,43565,33,6.7,9.8,20
Jefferson,55052,58053,62371,2,5.5,7.4,52
Lamar,34162,36737,40114,56,7.5,9.2,29
Lauderdale,38681,41778,44804,25,8,7.2,55
Lawrence,35643,38225,42996,36,7.2,12.5,6
Lee,39355,41760,45002,24,6.1,7.8,50
Limestone,44672,47397,50326,8,6.1,6.2,65
Lowndes,40270,43398,48852,10,7.8,12.6,5
Macon,31670,34888,38412,63,10.2,10.1,14
Madison,53160,56499,59852,3,6.3,5.9,67
Marengo,39394,43596,47008,17,10.7,7.8,47
Marion,33714,36927,40939,50,9.5,10.9,12
Marshall,37819,40676,44416,27,7.6,9.2,28
Mobile,39453,42837,46418,18,8.6,8.4,39
Monroe,35416,39339,42872,37,11.1,9,31
Montgomery,43593,47054,50337,7,7.9,7,58
Morgan,40831,44204,47479,13,8.3,7.4,53
Perry,32885,37160,40414,55,13,8.8,34
Pickens,35986,38631,43039,35,7.4,11.4,9
Pike,37580,40730,44659,26,8.4,9.6,25
Randolph,35044,36845,41750,43,5.1,13.3,4
Russell,33141,35878,39378,59,8.3,9.8,22
St. Clair,41418,43673,47117,16,5.4,7.9,46
Shelby,57963,60598,64350,1,4.5,6.2,64
Sumter,32079,35200,38253,65,9.7,8.7,35
Talladega,35072,37554,40668,52,7.1,8.3,41
Tallapoosa,42151,44772,48344,12,6.2,8,44
Tuscaloosa,37898,40463,43439,34,6.8,7.4,54
Walker,41267,43568,47239,15,5.6,8.4,37
Washington,38414,41642,45956,22,8.4,10.4,13
Wilcox,33078,36742,39354,61,11.1,7.1,56
Winston,35599,38472,41700,45,8.1,8.4,38
,,,,,,,
Alaska,61316,62756,65813,,2.3,4.9,
Aleutians East Borough,60712,57605,60174,21,-5.1,4.5,23
Aleutians West Census Area,60610,63509,65812,15,4.8,3.6,28
Anchorage Municipality,67317,68815,72032,9,2.2,4.7,22
Bethel Census Area,44649,46299,48189,29,3.7,4.1,26
Bristol Bay Borough,136337,138387,155155,1,1.5,12.1,3
Chugach Census Area2,,64386,70362,11,,9.3,7
Copper River Census Area2,,52522,55378,25,,5.4,19
Denali Borough,102888,91233,107916,2,-11.3,18.3,2
Dillingham Census Area,58303,59097,61572,18,1.4,4.2,25
Fairbanks North Star Borough,59011,61856,65314,16,4.8,5.6,18
Haines Borough,86528,81888,88152,3,-5.4,7.6,15
Hoonah-Angoon Census Area,59560,56226,60837,20,-5.6,8.2,12
Juneau City and Borough,71082,72097,75996,5,1.4,5.4,20
Kenai Peninsula Borough,54727,56224,59041,22,2.7,5,21
Ketchikan Gateway Borough,69052,67465,72278,8,-2.3,7.1,16
Kodiak Island Borough,63483,67027,69546,12,5.6,3.8,27
Kusilvak Census Area,31050,32971,36753,30,6.2,11.5,5
Lake and Peninsula Borough,59313,60602,67539,13,2.2,11.4,6
Matanuska-Susitna Borough,50459,52335,54207,26,3.7,3.6,29
Nome Census Area,52541,54275,58882,24,3.3,8.5,9
North Slope Borough,80223,75612,73320,7,-5.7,-3,30
Northwest Arctic Borough,48691,50076,52915,28,2.8,5.7,17
Petersburg Borough,67946,70171,78295,4,3.3,11.6,4
Prince of Wales-Hyder Census Area,49876,51123,53266,27,2.5,4.2,24
Sitka City and Borough,70715,69752,75917,6,-1.4,8.8,8
Skagway Municipality,77402,59045,71409,10,-23.7,20.9,1
Southeast Fairbanks Census Area,51956,54513,58988,23,4.9,8.2,11
Valdez-Cordova Census Area2,59676,,,,,,
Wrangell City and Borough,55603,56609,61327,19,1.8,8.3,10
Yakutat City and Borough,62179,61346,66375,14,-1.3,8.2,13
Yukon-Koyukuk Census Area,56750,58903,63452,17,3.8,7.7,14
,,,,,,,
Arizona,48124,52327,55487,,8.7,6,
Apache,36803,42196,45671,10,14.7,8.2,2
Cochise,41557,46909,49096,5,12.9,4.7,13
Coconino,49454,54008,56914,2,9.2,5.4,12
Gila,41033,45429,48752,7,10.7,7.3,6
Graham,32018,35987,38785,15,12.4,7.8,5
Greenlee,40517,43150,48079,8,6.5,11.4,1
La Paz,43174,46286,49933,4,7.2,7.9,4
Maricopa,52032,56255,59759,1,8.1,6.2,10
Mohave,35647,38717,41331,14,8.6,6.8,9
Navajo,33756,38524,41680,13,14.1,8.2,3
Pima,45996,50131,52942,3,9,5.6,11
Pinal,37402,40979,43793,12,9.6,6.9,8
Santa Cruz,38555,43734,46828,9,13.4,7.1,7
Yavapai,43306,47203,49060,6,9,3.9,14
Yuma,37624,42732,44299,11,13.6,3.7,15
,,,,,,,
Arkansas,44324,47154,50625,,6.4,7.4,
Arkansas,46906,52609,56733,3,12.2,7.8,41
Ashley,38172,40395,42844,32,5.8,6.1,59
Baxter,38535,40968,43479,29,6.3,6.1,58
Benton,86848,86938,91687,1,0.1,5.5,67
Boone,36495,38988,42642,36,6.8,9.4,24
Bradley,39690,42740,46734,14,7.7,9.3,25
Calhoun,38581,42102,45401,23,9.1,7.8,42
Carroll,32829,34896,40689,54,6.3,16.6,7
Chicot,38030,44738,47402,11,17.6,6,62
Clark,38155,41306,42664,35,8.3,3.3,73
Clay,34905,39772,42999,30,13.9,8.1,39
Cleburne,39597,42579,45289,25,7.5,6.4,56
Cleveland,41536,42714,49569,5,2.8,16,8
Columbia,38169,40526,42785,33,6.2,5.6,66
Conway,38985,41696,46412,16,7,11.3,17
Craighead,38810,42024,45160,26,8.3,7.5,46
Crawford,35445,37829,40691,53,6.7,7.6,45
Crittenden,37978,41598,45416,22,9.5,9.2,29
Cross,35961,40423,42009,41,12.4,3.9,72
Dallas,39012,42465,46261,18,8.9,8.9,33
Desha,38458,45111,48464,9,17.3,7.4,47
Drew,38788,42476,45391,24,9.5,6.9,52
Faulkner,40546,43322,45841,20,6.8,5.8,64
Franklin,33810,35248,40591,55,4.3,15.2,10
Fulton,29034,32621,34900,73,12.4,7,50
Garland,41510,44472,46897,13,7.1,5.5,68
Grant,40384,43237,46161,19,7.1,6.8,53
Greene,35811,39258,41633,44,9.6,6,60
Hempstead,33624,35784,41269,47,6.4,15.3,9
Hot Spring,32211,34907,37474,65,8.4,7.4,48
Howard,34864,35669,42224,38,2.3,18.4,1
Independence,36060,38631,42120,39,7.1,9,32
Izard,30885,33061,34986,72,7,5.8,63
Jackson,37858,42541,42871,31,12.4,0.8,75
Jefferson,34843,38571,42076,40,10.7,9.1,30
Johnson,29625,31779,35577,71,7.3,12,16
Lafayette,37184,40154,47355,12,8,17.9,3
Lawrence,34286,39170,40161,57,14.2,2.5,74
Lee,30106,34169,37128,66,13.5,8.7,34
Lincoln,27391,29548,33387,75,7.9,13,12
Little River,34511,37360,40794,52,8.3,9.2,28
Logan,33216,35348,39622,58,6.4,12.1,15
Lonoke,40743,43681,46388,17,7.2,6.2,57
Madison,34040,34782,40884,50,2.2,17.5,4
Marion,31484,33925,36684,70,7.8,8.1,37
Miller,35023,37832,40319,56,8,6.6,55
Mississippi,35086,38264,42273,37,9.1,10.5,21
Monroe,33835,40187,41783,42,18.8,4,71
Montgomery,31575,34374,37039,67,8.9,7.8,43
Nevada,33332,35106,39041,60,5.3,11.2,18
Newton,32564,35371,38629,63,8.6,9.2,27
Ouachita,39340,42742,46428,15,8.6,8.6,35
Perry,37206,39715,43793,28,6.7,10.3,22
Phillips,35443,41005,45497,21,15.7,11,19
Pike,33089,34971,40806,51,5.7,16.7,6
Poinsett,34645,38591,41551,45,11.4,7.7,44
Polk,31293,33816,38178,64,8.1,12.9,13
Pope,36057,37465,40937,49,3.9,9.3,26
Prairie,35328,42026,43835,27,19,4.3,70
Pulaski,52047,55423,58583,2,6.5,5.7,65
Randolph,33346,36205,39491,59,8.6,9.1,31
St. Francis,30215,33394,36761,69,10.5,10.1,23
Saline,43696,46269,49031,7,5.9,6,61
Scott,32039,33703,38790,61,5.2,15.1,11
Searcy,28574,31731,34335,74,11,8.2,36
Sebastian,43368,45505,48556,8,4.9,6.7,54
Sevier,33325,35030,41322,46,5.1,18,2
Sharp,34817,36583,41025,48,5.1,12.1,14
Stone,31554,33395,37002,68,5.8,10.8,20
Union,45295,47422,50787,4,4.7,7.1,49
Van Buren,32935,35870,38783,62,8.9,8.1,38
Washington,41081,44261,47836,10,7.7,8.1,40
White,37253,39958,42743,34,7.3,7,51
Woodruff,38049,46730,49050,6,22.8,5,69
Yell,34694,35573,41750,43,2.5,17.4,5
,,,,,,,
California,64919,70647,76614,,8.8,8.4,
Alameda,80623,88841,99746,5,10.2,12.3,4
Alpine,80225,75220,72734,16,-6.2,-3.3,58
Amador,44121,47790,49752,44,8.3,4.1,50
Butte,46174,51402,54694,33,11.3,6.4,28
Calaveras,50310,55355,57726,29,10,4.3,49
Colusa,45180,55498,54511,34,22.8,-1.8,57
Contra Costa,81782,88910,99312,6,8.7,11.7,7
Del Norte,36860,41309,43951,55,12.1,6.4,29
El Dorado,69408,74679,78525,11,7.6,5.2,42
Fresno,42987,48312,51422,41,12.4,6.4,27
Glenn,43581,49454,50626,43,13.5,2.4,56
Humboldt,46285,50693,53607,36,9.5,5.7,36
Imperial,37904,45021,47653,49,18.8,5.8,32
Inyo,58351,60124,62090,25,3,3.3,55
Kern,39477,44063,45961,53,11.6,4.3,47
Kings,36599,41397,43176,56,13.1,4.3,48
